开始时间,开盘价格,最高价格,最低价格,收盘价格,交易量
2021-05-25T16:00:00.000Z,2610.12,2909.68,2485.01,2745.13,196923.597831
2021-05-24T16:00:00.000Z,2509.35,2750.13,2380,2610.13,287052.424245
2021-05-23T16:00:00.000Z,1925.51,2529.39,1728.58,2508.74,463252.280211
2021-05-22T16:00:00.000Z,2367.27,2396.44,1865.27,1925.07,398086.936245
2021-05-21T16:00:00.000Z,2418.14,2518,2101.1,2366.74,463353.820205
2021-05-20T16:00:00.000Z,2903.41,2937.99,2375,2419.3,374471.313329
2021-05-19T16:00:00.000Z,2738.43,2989.6,2166,2902.91,758240.476531
2021-05-18T16:00:00.000Z,3344.94,3464.18,1764.5,2738.11,751931.446444
2021-05-17T16:00:00.000Z,3284.94,3561.98,3122.5,3344.67,244043.342757
2021-05-16T16:00:00.000Z,3630.97,3666,3120,3284.21,342736.630096
2021-05-15T16:00:00.000Z,3876.21,3880,3615.62,3631.41,155668.286629
2021-05-14T16:00:00.000Z,4130,4169.57,3797.1,3874.81,172953.444776
2021-05-13T16:00:00.000Z,3747.89,4160.69,3543.8,4130.33,226860.774393
2021-05-12T16:00:00.000Z,4189.42,4239.76,3500,3748.62,370155.318708
2021-05-11T16:00:00.000Z,4021,4371.96,3988.11,4189.16,130244.77101
2021-05-10T16:00:00.000Z,4156.24,4206.65,3648,4020.99,217088.392397
2021-05-09T16:00:00.000Z,3877.28,4169.98,3843,4156.29,151921.167076
2021-05-08T16:00:00.000Z,3630.33,3983,3628.79,3877.28,161430.803107
2021-05-07T16:00:00.000Z,3560.86,3681.21,3420,3630.14,105527.865788
2021-05-06T16:00:00.000Z,3549.67,3605.6,3352.03,3560.7,143836.886577
2021-05-05T16:00:00.000Z,3305.54,3577.77,3280.53,3549.28,131845.516226
2021-05-04T16:00:00.000Z,3228.46,3427.01,3160,3305.2,217244.705558
2021-05-03T16:00:00.000Z,3162.32,3527.74,3149,3228.3,284398.904266
2021-05-02T16:00:00.000Z,2929.47,3202,2919.22,3162.97,131912.15581
2021-05-01T16:00:00.000Z,2865.99,2954.2,2852.55,2929,89770.504158
2021-04-30T16:00:00.000Z,2736.8,2880.81,2732.2,2866,89246.546047
