开始时间,开盘价格,最高价格,最低价格,收盘价格,交易量/张,交易量/币
2021-05-01 15:30:00,2848.29,2858.97,2846.4,2858.24,1168.780758,3332722.554448
2021-05-02 15:30:00,2885.27,2901.11,2872.18,2893.12,1461.977902,4221918.259685
2021-05-03 15:30:00,3134.72,3146.67,3109.99,3145.69,4371.519138,13712426.054661
2021-05-04 15:30:00,3357.98,3360.41,3310.64,3313.66,3593.44251,11967301.436176
2021-05-05 15:30:00,3287.51,3355.3,3278.4,3339.47,3995.747627,13280163.015268
2021-05-06 15:30:00,3430.24,3444.42,3419,3440,1726.121076,5923610.041172
2021-05-07 15:30:00,3474.45,3477.52,3432.65,3433.42,1878.679427,6485958.235062
2021-05-08 15:30:00,3525.61,3545.48,3521.01,3526.16,4705.573685,16634592.998928
2021-05-09 15:30:00,3957.63,3961.18,3928,3937.84,1811.304438,7145898.126426
2021-05-10 15:30:00,4117.45,4138.58,4102.01,4105.24,4169.951762,17172744.070927
2021-05-11 15:30:00,3927.5,3965.32,3917.06,3960.33,1885.555646,7438314.327318
2021-05-12 15:30:00,4318.59,4327,4285,4306.71,1736.431527,7473385.229585
2021-05-13 15:30:00,3975.67,3987.7,3943.98,3968.4,2291.387019,9090226.743042
2021-05-14 15:30:00,3877.39,3885.71,3854.25,3881.25,3284.681056,12718918.04651
2021-05-15 15:30:00,3938.72,3964.64,3901.86,3908.1,3367.736731,13251201.848836
2021-05-16 15:30:00,3841.82,3867.89,3823.68,3866.34,1361.767012,5234260.148756
2021-05-17 15:30:00,3481.56,3527.48,3460,3520.19,5641.938662,19698439.923166
2021-05-18 15:30:00,3489.79,3511.76,3472.64,3508.84,2502.794884,8746282.994835
2021-05-19 15:30:00,2949.41,3011.2,2922.69,2984.39,8624.156882,25619908.71031
2021-05-20 15:30:00,2759.56,2779.17,2693.8,2713.71,11401.121355,31161843.628018
2021-05-21 15:30:00,2695.39,2717.64,2677.87,2686.99,5414.995865,14593696.70196
2021-05-22 15:30:00,2222.57,2259.99,2195.53,2248.43,7585.638503,16936137.847855
2021-05-23 15:30:00,2177.27,2183.56,2128.02,2157.44,8592.155147,18498624.28615
2021-05-24 15:30:00,2232.1,2297.23,2231.98,2290.02,12368.778731,28123272.297008
2021-05-25 15:30:00,2648.99,2665.85,2624.45,2660.2,2903.919951,7668148.858901
2021-05-26 15:30:00,2861.07,2894.17,2860.67,2889.49,3331.145768,9600944.829113
2021-05-27 15:30:00,2728.44,2757.54,2725.66,2734.73,2279.240624,6244698.13352
2021-05-28 15:30:00,2570.37,2576.34,2539.53,2566.24,5477.667263,14020753.954269
2021-05-29 15:30:00,2514.89,2519.9,2481.01,2488.77,3257.93436,8134653.871561
2021-05-30 15:30:00,2415.47,2463.03,2415.47,2451.62,4190.469319,10249187.631298
2021-05-31 15:30:00,2443.81,2455.29,2426.48,2450.99,4031.225154,9847313.169702
2021-06-01 15:30:00,2637.36,2654.93,2630,2652.9,2132.276969,5637157.291519
2021-06-02 15:30:00,2667.46,2708.58,2667.46,2693.14,6078.591331,16366295.859348
2021-06-03 15:30:00,2815.89,2835,2807.32,2819.7,1858.059858,5243643.632903
2021-06-04 15:30:00,2621.99,2644.47,2613,2619.7,3125.64301,8218766.088156
